match_id,player
1001349,DAS Gunaratne
1001351,DAS Gunaratne
1001353,A Zampa
1007655,E Chigumbura
1007657,BB Sran
1007659,KM Jadhav
1019979,KS Williamson
1019981,C Munro
1019983,CJ Anderson
1020029,Imran Tahir
1031431,JM Bairstow
1031433,CH Morris
1031435,DJ Malan
1031665,SP Narine
1034825,MM Ali
1034827,JJ Bumrah
1034829,YS Chahal
1041615,E Lewis
1043989,EJ Villani
1043991,AM Peterson
1043993,SW Bates
1044211,KM Beams
1050217,Imad Wasim
1050219,Sarfraz Ahmed
1050221,Imad Wasim
1065348,M Raj
1072316,B Stanlake
1072317,GJ Maxwell
1072318,KW Richardson
1072319,KS Williamson
1072320,DJM Short
1072321,EJG Morgan
1072322,AC Agar
1074957,CS MacLeod
1074959,MJG Rippon
1074961,Bilal Khan
1074964,JH Davey
1074965,WB Rankin
1074966,Anshuman Rath
1074968,MH Cross
1074970,GC Wilson
1075507,AB de Villiers
1075508,DA Miller
1077947,Shadab Khan
1077948,Shadab Khan
1083449,MDKJ Perera
1083450,Shakib Al Hasan
1085495,E Lewis
1085496,Hasan Ali
1086067,BL Mooney
1086068,KH Brunt
1086069,DN Wyatt
1098211,E Lewis
1109610,V Kohli
1115798,GD Phillips
1115800,C Munro
1115807,C Munro
1115808,Fakhar Zaman
1115809,Shadab Khan
1117821,Babar Azam
1117822,NLTC Perera
1117824,Ahmed Shehzad
1119501,Kuldeep Yadav
1119502,JP Behrendorff
1119542,AU Rashid
1119543,Kuldeep Yadav
1119544,AD Hales
1119545,RG Sharma
1120093,S Dhawan
1120094,C Munro
1120095,JJ Bumrah
1120291,Usman Shinwari
1120292,Shadab Khan
1120293,Shoaib Malik
1122285,B Kumar
1122286,H Klaasen
1122287,SK Raina
1122729,YS Chahal
1122730,RG Sharma
1122731,JD Unadkat
1122902,ASS Fletcher
1122908,SFM Devine
1122909,SW Bates
1122910,SFM Devine
1123206,M Raj
1123208,S Ismail
1123210,M Raj
1126721,TT Beaumont
1126723,S Ecclestone
1126724,SFM Devine
1126725,A Shrubsole
1126726,KH Brunt
1127300,Sarfraz Ahmed
1127301,Usman Shinwari
1130746,BKG Mendis
1130747,BKG Mendis
1131235,A Gardner
1131236,NR Sciver
1131237,DN Wyatt
1131238,ML Schutt
1131239,EA Perry
1131240,AA Patil
1131241,MM Lanning
1133817,MDKJ Perera
1133818,V Shankar
1133819,Mushfiqur Rahim
1133820,SN Thakur
1133821,RG Sharma
1133822,Mahmudullah
1133823,KD Karthik
1138194,KJ Martin
1138195,AE Satterthwaite
1138196,HK Matthews
1138198,KJ Martin
1138202,Javeria Khan
1138203,HASD Siriwardene
1140069,Hussain Talat
1140070,Babar Azam
1140071,Fakhar Zaman
1140384,JL Denly
1140992,Kuldeep Yadav
1140993,KL Rahul
1141232,E Lewis
1142589,DM de Silva
1142913,Asif Ali
1142914,B Stanlake
1142915,AJ Finch
1142916,SF Mire
1142917,Fakhar Zaman
1142918,AJ Tye
1142919,Fakhar Zaman
1144149,Imran Tahir
1144150,D Paterson
1144161,DA Miller
1144162,DA Miller
1144163,Shadab Khan
1144172,DA Miller
1144173,HE van der Dussen
1144174,D Pretorius
1144441,D van Niekerk
1144442,A Khaka
1144978,RL Haynes
1144979,ML Schutt
1144980,EA Perry
1144989,T Shamsi
1144990,A Zampa
1144992,KH Pandya
1146723,AD Russell
1146724,Tamim Iqbal
1146725,Liton Das
1147717,CMA Shillington
1147718,RV Scholes
1147719,Nisha Ali
1147720,Shamima Sultana
1147722,CMA Shillington
1147723,Fahima Khatun
1147724,B Tau
1147725,KE Bryce
1147726,CJ Metcalfe
1147727,Fahima Khatun
1147728,M Tom
1147729,LK O'Reilly
1147730,G Candiru
1147731,Rumana Ahmed
1147732,C Sutthiruang
1147733,SL Kalis
1147734,KE Bryce
1147735,N Boochatham
1147736,Panna Ghosh
1148048,M Raj
1148051,Fahima Khatun
1148052,H Kaur
1148053,NND de Silva
1148054,Nida Dar
1148055,W Liengprasert
1148056,Rumana Ahmed
1148057,Salma Khatun
1148058,Nida Dar
1148059,AA Patil
1148060,E Bisht
1148061,W Liengprasert
1148062,Shamima Sultana
1148063,Rumana Ahmed
1150533,H Kaur
1150534,AJ Healy
1150535,DJS Dottin
1150537,M Raj
1150538,AJ Healy
1150539,KL Gordon
1150540,S Ismail
1150541,Javeria Khan
1150542,AJ Healy
1150543,HASD Siriwardene
1150544,SR Taylor
1150545,M Raj
1150546,JM Watkin
1150547,NR Sciver
1150548,HK Matthews
1150549,S Mandhana
1150550,SFM Devine
1150551,DJS Dottin
1150552,M Kapp
1150553,AJ Healy
1150554,AE Jones
1150555,A Gardner
1152840,EJG Morgan
1153317,SS Cottrell
1153318,Shakib Al Hasan
1153319,E Lewis
1153696,TL Seifert
1153697,KH Pandya
1153698,C Munro
1153843,DAJ Bracewell
1153858,LMM Tahuhu
1153859,SW Bates
1153860,SFM Devine
1156216,A Mohammed
1156218,L Wolvaardt
1156219,L Lee
1157372,Imad Wasim
1157373,Imad Wasim
1157374,Shadab Khan
1157375,Mohammad Hafeez
1157376,Shaheen Shah Afridi
1157377,Babar Azam
1157759,Kuldeep Yadav
1157760,RG Sharma
1157761,S Dhawan
1158071,JM Bairstow
1158072,SW Billings
1158073,DJ Willey
1158344,B Mpedi
1161231,S Molineux
1161232,G Wareham
1161233,AJ Healy
1162727,DJM Short
1168020,DN Wyatt
1168026,MM Lanning
1168027,EA Perry
1168028,KH Brunt
1168160,D van Niekerk
1168162,S Luus
1168247,NM Coulter-Nile
1168248,GJ Maxwell
1170457,Shaiman Anwar
1170458,DS Airee
1170459,Karan KC
1172163,TT Beaumont
1172164,DN Wyatt
1172165,KL Cross
1172469,DJS Dottin
1172470,SA Campbelle
1172471,Nida Dar
1172505,TP Visee
1172506,PR Stirling
1172507,RE van der Merwe
1172508,KJ Coetzer
1172509,A Balbirnie
1172510,A Neill
1172910,C Sutthiruang
1172911,Mas Elysa
1172912,S Venkataraman
1172913,SR Magar
1172914,YS To
1172915,CR Seneviratna
1172916,CR Seneviratna
1172917,C Sutthiruang
1172918,Zhang Chan
1172919,Nary Thapa
1172920,N Chaiwai
1172921,F Song
1172922,S Venkataraman
1172923,S Tippoch
1172924,Nary Thapa
1172925,N Chaiwai
1172926,SR Magar
1172927,M Yousaf
1172929,RC Belbashi
1173048,Poonam Yadav
1173049,SR Taylor
