alias,canonical
"Wankhede Stadium, Mumbai",Wankhede Stadium
"Wankhede Stadium, Bombay",Wankhede Stadium
"M. Chinnaswamy Stadium, Bangalore",M. Chinnaswamy Stadium
M.Chinnaswamy Stadium,M. Chinnaswamy Stadium
"Eden Gardens, Kolkata",Eden Gardens
"Narendra Modi Stadium, Ahmedabad",Narendra Modi Stadium
Sardar Patel Stadium,Narendra Modi Stadium
Rajiv Gandhi International Cricket Stadium,Rajiv Gandhi International Stadium
Punjab Cricket Association IS Bindra Stadium,"PCA Stadium, Mohali"
PCA Stadium,"PCA Stadium, Mohali"
Arun Jaitley Stadium,Arun Jaitley Stadium
Feroz Shah Kotla,Arun Jaitley Stadium
Melbourne Cricket Ground,Melbourne Cricket Ground
MCG,Melbourne Cricket Ground
Sydney Cricket Ground,Sydney Cricket Ground
SCG,Sydney Cricket Ground
Perth Stadium,Perth Stadium
Optus Stadium,Perth Stadium
Adelaide Oval,Adelaide Oval
Brisbane Cricket Ground,The Gabba
"The Gabba, Brisbane",The Gabba
Lord's Cricket Ground,Lord's
Lords,Lord's
The Oval,The Kia Oval
Kia Oval,The Kia Oval
Old Trafford,Emirates Old Trafford
Newlands Cricket Ground,Newlands
SuperSport Park,SuperSport Park
Centurion,SuperSport Park
"Kensington Oval, Bridgetown",Kensington Oval
Providence Stadium,Providence Stadium
Dubai International Cricket Stadium,Dubai International Cricket Stadium
Dubai (DSC),Dubai International Cricket Stadium
Sheikh Zayed Stadium,Sheikh Zayed Stadium
Abu Dhabi,Sheikh Zayed Stadium
